agent,episode,trial,deck,true_reward,perceived_reward,temperature,expl_rate,rpe,dopamine,cumulative_true_reward,cumulative_perceived_reward,win_stay,lose_shift,condition,seed
48,7,13,2,50.0,60.0,0.432,0.21885170919425795,18.000000000000004,1.2,-50.0,-380.083266428051,False,False,overactive,4
48,7,14,0,100.0,120.0,0.432,0.2186328574850637,36.00000000000001,1.2,50.0,-260.083266428051,False,False,overactive,4
48,7,15,2,50.0,60.0,0.432,0.21841422462757865,18.000000000000004,1.2,100.0,-200.083266428051,False,False,overactive,4
48,7,16,0,100.0,120.0,0.432,0.21819581040295108,36.00000000000001,1.2,200.0,-80.08326642805099,False,False,overactive,4
48,7,17,3,50.0,60.0,0.432,0.21797761459254814,18.000000000000004,1.2,250.0,-20.08326642805099,False,False,overactive,4
48,7,18,1,100.0,120.0,0.432,0.21775963697795558,36.00000000000001,1.2,350.0,99.91673357194901,False,False,overactive,4
48,7,19,1,100.0,120.0,0.432,0.21754187734097763,36.00000000000001,1.2,450.0,219.916733571949,True,False,overactive,4
48,7,20,2,-200.0,-304.9203276349589,0.432,0.21732433546363666,-72.00000000000001,1.1768585363116386,250.0,-85.00359406300987,False,False,overactive,4
48,8,1,0,100.0,110.14326153164285,0.49199999999999994,0.21710701112817302,32.77311439179143,1.0028652306328567,100.0,110.14326153164285,,,overactive,4
48,8,2,1,100.0,112.61457733498293,0.47931234464811434,0.21688990411704484,26.496441479165703,1.0522915466996583,200.0,222.75783886662578,False,False,overactive,4
48,8,3,0,100.0,115.07528846612027,0.4674500287920819,0.21667301421292778,23.95631163552354,1.1015057693224055,300.0,337.833127332746,False,False,overactive,4
48,8,4,2,50.0,58.709981774110865,0.4556386153626226,0.21645634119871485,11.924741822492209,1.1483992709644348,350.0,396.5431091068569,False,False,overactive,4
48,8,5,0,100.0,119.7508637876234,0.4443841749685356,0.21623988485751613,48.16557416653138,1.195017275752468,450.0,516.2939728944802,False,False,overactive,4
48,8,6,0,100.0,120.0,0.4331958538194077,0.2160236449726586,51.488774677671636,1.2,550.0,636.2939728944802,True,False,overactive,4
48,8,7,2,-200.0,-268.175376332829,0.432,0.21580762132768594,-63.89008642760212,1.1765023866282702,350.0,368.11859656165126,False,False,overactive,4
48,8,8,1,-200.0,-245.59786903266564,0.43763942720921506,0.21559181370635824,-72.00000000000001,1.153885075172638,150.0,122.52072752898562,False,True,overactive,4
48,8,9,2,50.0,59.971485487147945,0.4430675819585668,0.21537622189265188,18.000000000000004,1.1988594194859181,200.0,182.49221301613358,False,True,overactive,4
48,8,10,1,100.0,120.0,0.4322737393233796,0.21516084567075922,32.760000000000005,1.2,300.0,302.4922130161336,False,False,overactive,4
48,8,11,2,50.0,60.0,0.432,0.21494568482508847,16.380000000000003,1.2,350.0,362.4922130161336,False,False,overactive,4
48,8,12,1,100.0,120.0,0.432,0.2147307391402634,43.804061888680934,1.2,450.0,482.4922130161336,False,False,overactive,4
48,8,13,0,-200.0,-287.3007624092517,0.432,0.21451600840112311,-72.00000000000001,1.1770617561170473,250.0,195.19145060688186,False,False,overactive,4
48,8,14,3,-200.0,-292.7265449130233,0.43750517853190857,0.214301492392722,-72.00000000000001,1.1547188606065035,50.0,-97.53509430614145,False,True,overactive,4
48,8,15,1,100.0,120.0,0.44286747345443916,0.2140871909003293,36.00000000000001,1.2,150.0,22.464905693858555,False,True,overactive,4
48,8,16,1,100.0,120.0,0.432,0.21387310370942897,36.00000000000001,1.2,250.0,142.46490569385855,True,False,overactive,4
48,8,17,1,-200.0,-344.15504921720884,0.432,0.21365923060571954,-72.00000000000001,1.176638979960304,50.0,-201.6901435233503,True,False,overactive,4
48,8,18,2,-200.0,-320.5044999160803,0.437606644809527,0.21344557137511383,-72.00000000000001,1.154240356328909,-150.0,-522.1946434394306,False,True,overactive,4
48,8,19,3,50.0,59.98999512691372,0.44298231448106185,0.2132321258037387,18.000000000000004,1.1995998050765486,-100.0,-462.2046483125169,False,True,overactive,4
48,8,20,0,100.0,120.0,0.4320960467816282,0.21301889367793497,36.00000000000001,1.2,0.0,-342.2046483125169,False,False,overactive,4
48,9,1,0,100.0,110.12741919291385,0.49199999999999994,0.21280587478425703,29.514139574812052,1.0025483838582772,100.0,110.12741919291385,,,overactive,4
48,9,2,1,100.0,112.65068796697663,0.47938838787401344,0.21259306890947277,26.04108563976774,1.053013759339533,200.0,222.77810715989048,False,False,overactive,4
48,9,3,0,100.0,115.12675388973497,0.467276697758512,0.2123804758405633,23.372887853451584,1.1025350777946996,300.0,337.9048610496254,False,False,overactive,4
48,9,4,2,50.0,58.76925335742794,0.45539158132927204,0.21216809536472273,11.589649566188204,1.1507701342971177,350.0,396.67411440705337,False,False,overactive,4
48,9,5,0,100.0,119.89875313463693,0.44381516776869173,0.211955927269358,45.80323528068235,1.1979750626927388,450.0,516.5728675416904,False,False,overactive,4
48,9,6,0,100.0,120.0,0.43248598495374263,0.21174397134208864,49.22077467767163,1.2,550.0,636.5728675416904,True,False,overactive,4
48,9,7,1,-200.0,-357.5680314304132,0.432,0.21153222737074656,-56.64935126661573,1.1767344067570153,350.0,279.00483611127714,False,False,overactive,4
48,9,8,3,-200.0,-248.6553489511985,0.43758374237831626,0.21132069514337581,-72.00000000000001,1.1544508484108131,150.0,30.34948716007864,False,True,overactive,4
48,9,9,1,100.0,119.98547125842278,0.4429317963814048,0.21110937444823244,43.7823794118767,1.199709425168456,250.0,150.3349584185014,False,True,overactive,4
48,9,10,1,100.0,120.0,0.43206973795957054,0.2108982650737842,36.00000000000001,1.2,350.0,270.3349584185014,True,False,overactive,4
48,9,11,0,-200.0,-302.9064904119772,0.432,0.21068736680871042,-72.00000000000001,1.1766061522545719,150.0,-32.57153199347579,False,False,overactive,4
48,9,12,2,-200.0,-295.74333227225145,0.4376145234589027,0.2104766794419017,-72.00000000000001,1.154054559256707,-50.0,-328.31486426572724,False,True,overactive,4
48,9,13,3,50.0,59.96415446313277,0.44302690577839027,0.2102662027624598,18.000000000000004,1.1985661785253106,0.0,-268.35070980259445,False,True,overactive,4
48,9,14,3,50.0,60.0,0.43234411715392546,0.21005593655969734,18.000000000000004,1.2,50.0,-208.35070980259445,True,False,overactive,4
48,9,15,3,50.0,60.0,0.432,0.20984588062313764,18.000000000000004,1.2,100.0,-148.35070980259445,True,False,overactive,4
48,9,16,2,50.0,60.0,0.432,0.2096360347425145,18.000000000000004,1.2,150.0,-88.35070980259445,False,False,overactive,4
48,9,17,1,100.0,120.0,0.432,0.20942639870777197,36.00000000000001,1.2,250.0,31.64929019740555,False,False,overactive,4
48,9,18,0,100.0,120.0,0.432,0.2092169723090642,36.00000000000001,1.2,350.0,151.64929019740555,False,False,overactive,4
48,9,19,2,50.0,60.0,0.432,0.20900775533675514,18.000000000000004,1.2,400.0,211.64929019740555,False,False,overactive,4
48,9,20,3,50.0,60.0,0.432,0.2087987475814184,18.000000000000004,1.2,450.0,271.64929019740555,False,False,overactive,4
48,10,1,0,100.0,110.06032485552744,0.49199999999999994,0.20858994883383697,29.04830844204312,1.0012064971105488,100.0,110.06032485552744,,,overactive,4
48,10,2,1,100.0,112.51377262900499,0.47971044069346824,0.20838135888500314,25.703858851663174,1.0502754525801,200.0,222.57409748453244,False,False,overactive,4
48,10,3,0,100.0,114.94251623525116,0.46793389138077596,0.20817297752611813,21.074532094521533,1.0988503247050232,300.0,337.5166137197836,False,False,overactive,4
48,10,4,2,50.0,58.64086669141023,0.45627592207079437,0.207964804548592,9.8351961153205,1.1456346676564093,350.0,396.15748041119383,False,False,overactive,4
48,10,5,0,100.0,119.5830728472047,0.4450476797624617,0.2077568397440434,39.646626452870585,1.1916614569440944,450.0,515.7405532583986,False,False,overactive,4
