agent,trial,episode,deck,reward,cumulative_reward,win_stay,lose_shift,condition,seed
2,10,2,2,0.5,7.0,0.0,0.0,depleted,0
2,11,2,3,0.5,7.5,0.0,0.0,depleted,0
2,12,2,0,1.0,8.5,0.0,0.0,depleted,0
2,13,2,0,1.0,9.5,1.0,0.0,depleted,0
2,14,2,3,0.5,10.0,0.0,0.0,depleted,0
2,15,2,0,1.0,11.0,0.0,0.0,depleted,0
2,16,2,2,0.5,11.5,0.0,0.0,depleted,0
2,17,2,0,-2.5,9.0,0.0,0.0,depleted,0
2,18,2,1,-2.5,6.5,0.0,1.0,depleted,0
2,19,2,1,-2.5,4.0,0.0,0.0,depleted,0
2,20,2,1,1.0,5.0,0.0,0.0,depleted,0
2,1,3,1,1.0,1.0,,,depleted,0
2,2,3,0,1.0,2.0,0.0,0.0,depleted,0
2,3,3,0,1.0,3.0,1.0,0.0,depleted,0
2,4,3,0,1.0,4.0,1.0,0.0,depleted,0
2,5,3,0,1.0,5.0,1.0,0.0,depleted,0
2,6,3,2,0.5,5.5,0.0,0.0,depleted,0
2,7,3,2,0.5,6.0,1.0,0.0,depleted,0
2,8,3,2,0.5,6.5,1.0,0.0,depleted,0
2,9,3,1,1.0,7.5,0.0,0.0,depleted,0
2,10,3,2,0.5,8.0,0.0,0.0,depleted,0
2,11,3,3,0.5,8.5,0.0,0.0,depleted,0
2,12,3,1,-2.5,6.0,0.0,0.0,depleted,0
2,13,3,1,-2.5,3.5,0.0,0.0,depleted,0
2,14,3,3,0.5,4.0,0.0,1.0,depleted,0
2,15,3,3,0.5,4.5,1.0,0.0,depleted,0
2,16,3,3,0.5,5.0,1.0,0.0,depleted,0
2,17,3,1,1.0,6.0,0.0,0.0,depleted,0
2,18,3,2,0.5,6.5,0.0,0.0,depleted,0
2,19,3,3,0.5,7.0,0.0,0.0,depleted,0
2,20,3,2,-2.5,4.5,0.0,0.0,depleted,0
2,1,4,3,0.5,0.5,,,depleted,0
2,2,4,2,0.5,1.0,0.0,0.0,depleted,0
2,3,4,2,0.5,1.5,1.0,0.0,depleted,0
2,4,4,1,1.0,2.5,0.0,0.0,depleted,0
2,5,4,3,0.5,3.0,0.0,0.0,depleted,0
2,6,4,0,1.0,4.0,0.0,0.0,depleted,0
2,7,4,2,0.5,4.5,0.0,0.0,depleted,0
2,8,4,2,0.5,5.0,1.0,0.0,depleted,0
2,9,4,3,0.5,5.5,0.0,0.0,depleted,0
2,10,4,2,0.5,6.0,0.0,0.0,depleted,0
2,11,4,1,1.0,7.0,0.0,0.0,depleted,0
2,12,4,1,-2.5,4.5,1.0,0.0,depleted,0
2,13,4,1,-2.5,2.0,0.0,0.0,depleted,0
2,14,4,1,1.0,3.0,0.0,0.0,depleted,0
2,15,4,2,-2.5,0.5,0.0,0.0,depleted,0
2,16,4,3,0.5,1.0,0.0,1.0,depleted,0
2,17,4,0,1.0,2.0,0.0,0.0,depleted,0
2,18,4,3,0.5,2.5,0.0,0.0,depleted,0
2,19,4,2,0.5,3.0,0.0,0.0,depleted,0
2,20,4,1,1.0,4.0,0.0,0.0,depleted,0
2,1,5,2,0.5,0.5,,,depleted,0
2,2,5,2,0.5,1.0,1.0,0.0,depleted,0
2,3,5,1,1.0,2.0,0.0,0.0,depleted,0
2,4,5,1,1.0,3.0,1.0,0.0,depleted,0
2,5,5,2,0.5,3.5,0.0,0.0,depleted,0
2,6,5,2,0.5,4.0,1.0,0.0,depleted,0
2,7,5,2,0.5,4.5,1.0,0.0,depleted,0
2,8,5,1,-2.5,2.0,0.0,0.0,depleted,0
2,9,5,3,0.5,2.5,0.0,1.0,depleted,0
2,10,5,1,-2.5,0.0,0.0,0.0,depleted,0
2,11,5,1,1.0,1.0,0.0,0.0,depleted,0
2,12,5,3,0.5,1.5,0.0,0.0,depleted,0
2,13,5,1,1.0,2.5,0.0,0.0,depleted,0
2,14,5,0,1.0,3.5,0.0,0.0,depleted,0
2,15,5,2,-2.5,1.0,0.0,0.0,depleted,0
2,16,5,2,0.5,1.5,0.0,0.0,depleted,0
2,17,5,0,1.0,2.5,0.0,0.0,depleted,0
2,18,5,0,1.0,3.5,1.0,0.0,depleted,0
2,19,5,1,1.0,4.5,0.0,0.0,depleted,0
2,20,5,3,0.5,5.0,0.0,0.0,depleted,0
2,1,6,1,1.0,1.0,,,depleted,0
2,2,6,3,0.5,1.5,0.0,0.0,depleted,0
2,3,6,1,1.0,2.5,0.0,0.0,depleted,0
2,4,6,0,1.0,3.5,0.0,0.0,depleted,0
2,5,6,3,0.5,4.0,0.0,0.0,depleted,0
2,6,6,3,0.5,4.5,1.0,0.0,depleted,0
2,7,6,0,1.0,5.5,0.0,0.0,depleted,0
2,8,6,0,1.0,6.5,1.0,0.0,depleted,0
2,9,6,2,0.5,7.0,0.0,0.0,depleted,0
2,10,6,1,-2.5,4.5,0.0,0.0,depleted,0
2,11,6,2,0.5,5.0,0.0,1.0,depleted,0
2,12,6,0,1.0,6.0,0.0,0.0,depleted,0
2,13,6,3,0.5,6.5,0.0,0.0,depleted,0
2,14,6,1,-2.5,4.0,0.0,0.0,depleted,0
2,15,6,3,0.5,4.5,0.0,1.0,depleted,0
2,16,6,3,-2.5,2.0,1.0,0.0,depleted,0
2,17,6,2,0.5,2.5,0.0,1.0,depleted,0
2,18,6,0,1.0,3.5,0.0,0.0,depleted,0
2,19,6,3,0.5,4.0,0.0,0.0,depleted,0
2,20,6,0,-2.5,1.5,0.0,0.0,depleted,0
2,1,7,2,0.5,0.5,,,depleted,0
2,2,7,1,1.0,1.5,0.0,0.0,depleted,0
2,3,7,3,0.5,2.0,0.0,0.0,depleted,0
2,4,7,0,1.0,3.0,0.0,0.0,depleted,0
2,5,7,3,0.5,3.5,0.0,0.0,depleted,0
2,6,7,0,1.0,4.5,0.0,0.0,depleted,0
2,7,7,2,0.5,5.0,0.0,0.0,depleted,0
2,8,7,2,0.5,5.5,1.0,0.0,depleted,0
2,9,7,3,0.5,6.0,0.0,0.0,depleted,0
2,10,7,1,1.0,7.0,0.0,0.0,depleted,0
2,11,7,3,0.5,7.5,0.0,0.0,depleted,0
2,12,7,2,0.5,8.0,0.0,0.0,depleted,0
2,13,7,3,0.5,8.5,0.0,0.0,depleted,0
2,14,7,0,1.0,9.5,0.0,0.0,depleted,0
2,15,7,3,-2.5,7.0,0.0,0.0,depleted,0
2,16,7,3,0.5,7.5,0.0,0.0,depleted,0
2,17,7,0,1.0,8.5,0.0,0.0,depleted,0
2,18,7,1,-2.5,6.0,0.0,0.0,depleted,0
2,19,7,2,0.5,6.5,0.0,1.0,depleted,0
2,20,7,0,1.0,7.5,0.0,0.0,depleted,0
2,1,8,2,0.5,0.5,,,depleted,0
2,2,8,2,0.5,1.0,1.0,0.0,depleted,0
2,3,8,3,0.5,1.5,0.0,0.0,depleted,0
2,4,8,3,0.5,2.0,1.0,0.0,depleted,0
2,5,8,1,1.0,3.0,0.0,0.0,depleted,0
2,6,8,1,1.0,4.0,1.0,0.0,depleted,0
2,7,8,1,-2.5,1.5,1.0,0.0,depleted,0
2,8,8,3,0.5,2.0,0.0,1.0,depleted,0
2,9,8,0,1.0,3.0,0.0,0.0,depleted,0
2,10,8,1,-2.5,0.5,0.0,0.0,depleted,0
2,11,8,0,1.0,1.5,0.0,1.0,depleted,0
2,12,8,1,1.0,2.5,0.0,0.0,depleted,0
2,13,8,3,0.5,3.0,0.0,0.0,depleted,0
2,14,8,2,0.5,3.5,0.0,0.0,depleted,0
2,15,8,1,1.0,4.5,0.0,0.0,depleted,0
2,16,8,3,0.5,5.0,0.0,0.0,depleted,0
2,17,8,2,0.5,5.5,0.0,0.0,depleted,0
2,18,8,3,-2.5,3.0,0.0,0.0,depleted,0
2,19,8,0,1.0,4.0,0.0,1.0,depleted,0
2,20,8,1,1.0,5.0,0.0,0.0,depleted,0
2,1,9,3,0.5,0.5,,,depleted,0
2,2,9,3,0.5,1.0,1.0,0.0,depleted,0
2,3,9,1,1.0,2.0,0.0,0.0,depleted,0
2,4,9,1,1.0,3.0,1.0,0.0,depleted,0
2,5,9,1,-2.5,0.5,1.0,0.0,depleted,0
2,6,9,2,0.5,1.0,0.0,1.0,depleted,0
2,7,9,0,1.0,2.0,0.0,0.0,depleted,0
2,8,9,3,0.5,2.5,0.0,0.0,depleted,0
2,9,9,0,1.0,3.5,0.0,0.0,depleted,0
2,10,9,1,-2.5,1.0,0.0,0.0,depleted,0
2,11,9,1,1.0,2.0,0.0,0.0,depleted,0
2,12,9,2,0.5,2.5,0.0,0.0,depleted,0
2,13,9,2,0.5,3.0,1.0,0.0,depleted,0
2,14,9,2,0.5,3.5,1.0,0.0,depleted,0
2,15,9,3,0.5,4.0,0.0,0.0,depleted,0
2,16,9,3,0.5,4.5,1.0,0.0,depleted,0
2,17,9,0,1.0,5.5,0.0,0.0,depleted,0
2,18,9,0,1.0,6.5,1.0,0.0,depleted,0
2,19,9,0,1.0,7.5,1.0,0.0,depleted,0
2,20,9,2,0.5,8.0,0.0,0.0,depleted,0
2,1,10,3,0.5,0.5,,,depleted,0
2,2,10,3,0.5,1.0,1.0,0.0,depleted,0
2,3,10,2,0.5,1.5,0.0,0.0,depleted,0
2,4,10,3,0.5,2.0,0.0,0.0,depleted,0
2,5,10,3,0.5,2.5,1.0,0.0,depleted,0
2,6,10,0,1.0,3.5,0.0,0.0,depleted,0
2,7,10,0,1.0,4.5,1.0,0.0,depleted,0
2,8,10,3,0.5,5.0,0.0,0.0,depleted,0
2,9,10,0,1.0,6.0,0.0,0.0,depleted,0
2,10,10,3,-2.5,3.5,0.0,0.0,depleted,0
2,11,10,3,0.5,4.0,0.0,0.0,depleted,0
2,12,10,3,-2.5,1.5,1.0,0.0,depleted,0
2,13,10,1,1.0,2.5,0.0,1.0,depleted,0
2,14,10,0,1.0,3.5,0.0,0.0,depleted,0
2,15,10,2,0.5,4.0,0.0,0.0,depleted,0
2,16,10,3,0.5,4.5,0.0,0.0,depleted,0
2,17,10,1,1.0,5.5,0.0,0.0,depleted,0
2,18,10,3,0.5,6.0,0.0,0.0,depleted,0
2,19,10,1,-2.5,3.5,0.0,0.0,depleted,0
2,20,10,3,0.5,4.0,0.0,1.0,depleted,0
3,1,1,3,0.5,0.5,,,depleted,0
3,2,1,2,0.5,1.0,0.0,0.0,depleted,0
3,3,1,2,0.5,1.5,1.0,0.0,depleted,0
3,4,1,1,1.0,2.5,0.0,0.0,depleted,0
3,5,1,1,1.0,3.5,1.0,0.0,depleted,0
3,6,1,0,1.0,4.5,0.0,0.0,depleted,0
3,7,1,0,1.0,5.5,1.0,0.0,depleted,0
3,8,1,0,1.0,6.5,1.0,0.0,depleted,0
3,9,1,0,1.0,7.5,1.0,0.0,depleted,0
3,10,1,3,0.5,8.0,0.0,0.0,depleted,0
3,11,1,2,0.5,8.5,0.0,0.0,depleted,0
3,12,1,3,0.5,9.0,0.0,0.0,depleted,0
3,13,1,2,0.5,9.5,0.0,0.0,depleted,0
3,14,1,2,0.5,10.0,1.0,0.0,depleted,0
3,15,1,3,0.5,10.5,0.0,0.0,depleted,0
3,16,1,2,-2.5,8.0,0.0,0.0,depleted,0
3,17,1,2,0.5,8.5,0.0,0.0,depleted,0
3,18,1,2,0.5,9.0,1.0,0.0,depleted,0
3,19,1,2,-2.5,6.5,1.0,0.0,depleted,0
3,20,1,3,0.5,7.0,0.0,1.0,depleted,0
3,1,2,1,1.0,1.0,,,depleted,0
3,2,2,3,0.5,1.5,0.0,0.0,depleted,0
3,3,2,2,0.5,2.0,0.0,0.0,depleted,0
3,4,2,0,1.0,3.0,0.0,0.0,depleted,0
3,5,2,1,1.0,4.0,0.0,0.0,depleted,0
3,6,2,3,0.5,4.5,0.0,0.0,depleted,0
3,7,2,2,0.5,5.0,0.0,0.0,depleted,0
3,8,2,0,1.0,6.0,0.0,0.0,depleted,0
3,9,2,3,0.5,6.5,0.0,0.0,depleted,0
3,10,2,2,0.5,7.0,0.0,0.0,depleted,0
3,11,2,3,0.5,7.5,0.0,0.0,depleted,0
3,12,2,0,1.0,8.5,0.0,0.0,depleted,0
3,13,2,0,1.0,9.5,1.0,0.0,depleted,0
3,14,2,3,0.5,10.0,0.0,0.0,depleted,0
3,15,2,0,1.0,11.0,0.0,0.0,depleted,0
3,16,2,2,0.5,11.5,0.0,0.0,depleted,0
3,17,2,0,-2.5,9.0,0.0,0.0,depleted,0
3,18,2,1,-2.5,6.5,0.0,1.0,depleted,0
3,19,2,1,-2.5,4.0,0.0,0.0,depleted,0
3,20,2,1,1.0,5.0,0.0,0.0,depleted,0
3,1,3,1,1.0,1.0,,,depleted,0
3,2,3,0,1.0,2.0,0.0,0.0,depleted,0
3,3,3,0,1.0,3.0,1.0,0.0,depleted,0
3,4,3,0,1.0,4.0,1.0,0.0,depleted,0
3,5,3,0,1.0,5.0,1.0,0.0,depleted,0
3,6,3,2,0.5,5.5,0.0,0.0,depleted,0
3,7,3,2,0.5,6.0,1.0,0.0,depleted,0
3,8,3,2,0.5,6.5,1.0,0.0,depleted,0
3,9,3,1,1.0,7.5,0.0,0.0,depleted,0
3,10,3,2,0.5,8.0,0.0,0.0,depleted,0
3,11,3,3,0.5,8.5,0.0,0.0,depleted,0
3,12,3,1,-2.5,6.0,0.0,0.0,depleted,0
3,13,3,1,-2.5,3.5,0.0,0.0,depleted,0
3,14,3,3,0.5,4.0,0.0,1.0,depleted,0
