condition,agent,block,win_stay,lose_shift
overactive,2,5,0.19,0.167
overactive,3,1,0.2145,0.1465
overactive,3,2,0.192,0.1665
overactive,3,3,0.2055,0.14
overactive,3,4,0.2075,0.1495
overactive,3,5,0.19,0.167
overactive,4,1,0.2145,0.1465
overactive,4,2,0.192,0.1665
overactive,4,3,0.2055,0.14
overactive,4,4,0.2075,0.1495
overactive,4,5,0.19,0.167
overactive,5,1,0.2145,0.1465
overactive,5,2,0.192,0.1665
overactive,5,3,0.2055,0.14
overactive,5,4,0.2075,0.1495
overactive,5,5,0.19,0.167
overactive,6,1,0.2145,0.1465
overactive,6,2,0.192,0.1665
overactive,6,3,0.2055,0.14
overactive,6,4,0.2075,0.1495
overactive,6,5,0.19,0.167
overactive,7,1,0.2145,0.1465
overactive,7,2,0.192,0.1665
overactive,7,3,0.2055,0.14
overactive,7,4,0.2075,0.1495
overactive,7,5,0.19,0.167
overactive,8,1,0.2145,0.1465
overactive,8,2,0.192,0.1665
overactive,8,3,0.2055,0.14
overactive,8,4,0.2075,0.1495
overactive,8,5,0.19,0.167
overactive,9,1,0.2145,0.1465
overactive,9,2,0.192,0.1665
overactive,9,3,0.2055,0.14
overactive,9,4,0.2075,0.1495
overactive,9,5,0.19,0.167
overactive,10,1,0.2145,0.1465
overactive,10,2,0.192,0.1665
overactive,10,3,0.2055,0.14
overactive,10,4,0.2075,0.1495
overactive,10,5,0.19,0.167
overactive,11,1,0.2145,0.1465
overactive,11,2,0.192,0.1665
overactive,11,3,0.2055,0.14
overactive,11,4,0.2075,0.1495
overactive,11,5,0.19,0.167
overactive,12,1,0.2145,0.1465
overactive,12,2,0.192,0.1665
overactive,12,3,0.2055,0.14
overactive,12,4,0.2075,0.1495
overactive,12,5,0.19,0.167
overactive,13,1,0.2145,0.1465
overactive,13,2,0.192,0.1665
overactive,13,3,0.2055,0.14
overactive,13,4,0.2075,0.1495
overactive,13,5,0.19,0.167
overactive,14,1,0.2145,0.1465
overactive,14,2,0.192,0.1665
overactive,14,3,0.2055,0.14
overactive,14,4,0.2075,0.1495
overactive,14,5,0.19,0.167
overactive,15,1,0.2145,0.1465
overactive,15,2,0.192,0.1665
overactive,15,3,0.2055,0.14
overactive,15,4,0.2075,0.1495
overactive,15,5,0.19,0.167
overactive,16,1,0.2145,0.1465
overactive,16,2,0.192,0.1665
overactive,16,3,0.2055,0.14
overactive,16,4,0.2075,0.1495
overactive,16,5,0.19,0.167
overactive,17,1,0.2145,0.1465
overactive,17,2,0.192,0.1665
overactive,17,3,0.2055,0.14
overactive,17,4,0.2075,0.1495
overactive,17,5,0.19,0.167
overactive,18,1,0.2145,0.1465
overactive,18,2,0.192,0.1665
overactive,18,3,0.2055,0.14
overactive,18,4,0.2075,0.1495
overactive,18,5,0.19,0.167
overactive,19,1,0.2145,0.1465
overactive,19,2,0.192,0.1665
overactive,19,3,0.2055,0.14
overactive,19,4,0.2075,0.1495
overactive,19,5,0.19,0.167
overactive,20,1,0.2145,0.1465
overactive,20,2,0.192,0.1665
overactive,20,3,0.2055,0.14
overactive,20,4,0.2075,0.1495
overactive,20,5,0.19,0.167
overactive,21,1,0.2145,0.1465
overactive,21,2,0.192,0.1665
overactive,21,3,0.2055,0.14
overactive,21,4,0.2075,0.1495
overactive,21,5,0.19,0.167
overactive,22,1,0.2145,0.1465
overactive,22,2,0.192,0.1665
overactive,22,3,0.2055,0.14
overactive,22,4,0.2075,0.1495
overactive,22,5,0.19,0.167
overactive,23,1,0.2145,0.1465
overactive,23,2,0.192,0.1665
overactive,23,3,0.2055,0.14
overactive,23,4,0.2075,0.1495
overactive,23,5,0.19,0.167
overactive,24,1,0.2145,0.1465
overactive,24,2,0.192,0.1665
overactive,24,3,0.2055,0.14
overactive,24,4,0.2075,0.1495
overactive,24,5,0.19,0.167
overactive,25,1,0.2145,0.1465
overactive,25,2,0.192,0.1665
overactive,25,3,0.2055,0.14
overactive,25,4,0.2075,0.1495
overactive,25,5,0.19,0.167
overactive,26,1,0.2145,0.1465
overactive,26,2,0.192,0.1665
overactive,26,3,0.2055,0.14
overactive,26,4,0.2075,0.1495
overactive,26,5,0.19,0.167
overactive,27,1,0.2145,0.1465
overactive,27,2,0.192,0.1665
overactive,27,3,0.2055,0.14
overactive,27,4,0.2075,0.1495
overactive,27,5,0.19,0.167
overactive,28,1,0.2145,0.1465
overactive,28,2,0.192,0.1665
overactive,28,3,0.2055,0.14
overactive,28,4,0.2075,0.1495
overactive,28,5,0.19,0.167
overactive,29,1,0.2145,0.1465
overactive,29,2,0.192,0.1665
overactive,29,3,0.2055,0.14
overactive,29,4,0.2075,0.1495
overactive,29,5,0.19,0.167
