condition,agent,block,cumulative_perceived_reward
depleted,22,4,471.76504413652884
depleted,22,5,612.9353952745694
depleted,23,1,95.04306554477225
depleted,23,2,228.83444005544578
depleted,23,3,344.7221911507087
depleted,23,4,472.1453015530803
depleted,23,5,613.2297340089565
depleted,24,1,93.9955456649819
depleted,24,2,228.93334213914073
depleted,24,3,341.9017904130626
depleted,24,4,469.578509832676
depleted,24,5,610.0343593338537
depleted,25,1,95.45649357183137
depleted,25,2,229.31549799414793
depleted,25,3,343.64869502374756
depleted,25,4,471.2875103249735
depleted,25,5,612.4247513945627
depleted,26,1,95.2655188954192
depleted,26,2,229.6406258573847
depleted,26,3,343.41845046451766
depleted,26,4,471.2607022990921
depleted,26,5,611.7670383898314
depleted,27,1,94.63233867115882
depleted,27,2,230.06295526771152
depleted,27,3,343.2705335934419
depleted,27,4,470.18669045444574
depleted,27,5,610.5246807659304
depleted,28,1,95.39426194291069
depleted,28,2,230.41590638767852
depleted,28,3,343.43340180081395
depleted,28,4,471.81228683001865
depleted,28,5,612.0460738507734
depleted,29,1,95.14638824862706
depleted,29,2,229.45913841817986
depleted,29,3,342.70191024551593
depleted,29,4,469.6830762935906
depleted,29,5,610.740408112416
depleted,30,1,94.36288256541975
depleted,30,2,230.07143352059012
depleted,30,3,343.7667099694732
depleted,30,4,471.89518205711363
depleted,30,5,613.2024487700371
depleted,31,1,95.47400014327143
depleted,31,2,231.62514632965235
depleted,31,3,345.65628890121314
depleted,31,4,473.3179612753428
depleted,31,5,614.905888721797
depleted,32,1,94.86421089044316
depleted,32,2,230.83726391301775
depleted,32,3,345.23728706044545
depleted,32,4,472.6827384419206
depleted,32,5,614.7371242681454
depleted,33,1,94.38854160010791
depleted,33,2,228.77943852254717
depleted,33,3,343.12269154342175
depleted,33,4,471.2160568110192
depleted,33,5,611.9751773832829
depleted,34,1,94.97720770065771
depleted,34,2,228.2363196652535
depleted,34,3,344.0742737893428
depleted,34,4,471.30622670904575
depleted,34,5,612.2825750007876
depleted,35,1,94.40917450692112
depleted,35,2,229.8039567748912
depleted,35,3,343.8947637112125
depleted,35,4,472.0786047250593
depleted,35,5,613.3453091502935
depleted,36,1,95.1898027869914
depleted,36,2,230.75959105765565
depleted,36,3,343.6846784380487
depleted,36,4,470.2434854430635
depleted,36,5,611.4443184457684
depleted,37,1,93.49864220505711
depleted,37,2,228.37003473717095
depleted,37,3,341.8300768048275
depleted,37,4,468.54947225433517
depleted,37,5,609.5108972446628
depleted,38,1,94.73802072576514
depleted,38,2,228.7420518350103
depleted,38,3,344.3714461683643
depleted,38,4,471.5197829524783
depleted,38,5,612.3950510800438
depleted,39,1,94.00958026299035
depleted,39,2,228.48488708787718
depleted,39,3,342.0466386500376
depleted,39,4,469.3570175071371
depleted,39,5,609.957719231774
depleted,40,1,94.19988373469917
depleted,40,2,229.63234000289086
depleted,40,3,342.80232596079225
depleted,40,4,470.5404646408744
depleted,40,5,611.7850921029501
depleted,41,1,94.53852559753412
depleted,41,2,229.7474374345959
depleted,41,3,343.6646807890741
depleted,41,4,471.2486726573681
depleted,41,5,612.4513785112359
depleted,42,1,95.40379238106343
depleted,42,2,230.70130826820915
depleted,42,3,344.18534340363067
depleted,42,4,471.835634844614
depleted,42,5,613.8581767926682
depleted,43,1,94.01989634268679
depleted,43,2,230.86227455111072
depleted,43,3,343.95395474620983
depleted,43,4,470.7145849276875
depleted,43,5,611.974044320612
depleted,44,1,94.93747075253313
depleted,44,2,229.8390528831315
depleted,44,3,342.74367444516616
depleted,44,4,470.4733847307856
depleted,44,5,612.2218371803345
depleted,45,1,95.08743046106989
depleted,45,2,231.29466580252807
depleted,45,3,345.76173686194136
depleted,45,4,472.97657615534143
depleted,45,5,614.4583515902593
depleted,46,1,94.61000087881848
depleted,46,2,230.589556163062
depleted,46,3,344.132905812466
depleted,46,4,471.7281265666537
depleted,46,5,612.5250093741869
depleted,47,1,95.47020617399478
depleted,47,2,229.94700737986878
depleted,47,3,343.9864355033501
depleted,47,4,471.3774125546671
depleted,47,5,612.6401619722463
depleted,48,1,95.08003151806568
depleted,48,2,230.5940980958348
depleted,48,3,345.1222234740614
depleted,48,4,472.38796229962355
depleted,48,5,613.4681226453117
depleted,49,1,94.41177868031164
depleted,49,2,229.9088817136124
depleted,49,3,343.6730006229585
depleted,49,4,471.35347930357767
depleted,49,5,612.0893704583806
depleted,50,1,94.97929755445882
depleted,50,2,229.7306311394247
depleted,50,3,343.34447129404737
depleted,50,4,471.32902454850756
depleted,50,5,612.652416128926
overactive,1,1,1067.2923525639849
overactive,1,2,137.43898046683177
overactive,1,3,803.3000303701695
overactive,1,4,994.4915137512138
overactive,1,5,1018.2310512072529
overactive,2,1,1055.9839577556138
overactive,2,2,152.90197744133053
overactive,2,3,836.2718793292834
overactive,2,4,1022.9985877449793
overactive,2,5,1032.5625175882537
overactive,3,1,1047.3195448585234
overactive,3,2,119.47138188332426
overactive,3,3,816.242503811986
overactive,3,4,989.605796257684
