condition,agent,block,win_stay,lose_shift
depleted,42,2,0.2075,0.1605
depleted,42,3,0.201,0.1375
depleted,42,4,0.2,0.151
depleted,42,5,0.217,0.1445
depleted,43,1,0.1925,0.1475
depleted,43,2,0.2075,0.1605
depleted,43,3,0.201,0.1375
depleted,43,4,0.2,0.151
depleted,43,5,0.217,0.1445
depleted,44,1,0.1925,0.1475
depleted,44,2,0.2075,0.1605
depleted,44,3,0.201,0.1375
depleted,44,4,0.2,0.151
depleted,44,5,0.217,0.1445
depleted,45,1,0.1925,0.1475
depleted,45,2,0.2075,0.1605
depleted,45,3,0.201,0.1375
depleted,45,4,0.2,0.151
depleted,45,5,0.217,0.1445
depleted,46,1,0.1925,0.1475
depleted,46,2,0.2075,0.1605
depleted,46,3,0.201,0.1375
depleted,46,4,0.2,0.151
depleted,46,5,0.217,0.1445
depleted,47,1,0.1925,0.1475
depleted,47,2,0.2075,0.1605
depleted,47,3,0.201,0.1375
depleted,47,4,0.2,0.151
depleted,47,5,0.217,0.1445
depleted,48,1,0.1925,0.1475
depleted,48,2,0.2075,0.1605
depleted,48,3,0.201,0.1375
depleted,48,4,0.2,0.151
depleted,48,5,0.217,0.1445
depleted,49,1,0.1925,0.1475
depleted,49,2,0.2075,0.1605
depleted,49,3,0.201,0.1375
depleted,49,4,0.2,0.151
depleted,49,5,0.217,0.1445
depleted,50,1,0.1925,0.1475
depleted,50,2,0.2075,0.1605
depleted,50,3,0.201,0.1375
depleted,50,4,0.2,0.151
depleted,50,5,0.217,0.1445
overactive,1,1,0.1925,0.1475
overactive,1,2,0.2075,0.1605
overactive,1,3,0.201,0.1375
overactive,1,4,0.2,0.151
overactive,1,5,0.217,0.1445
overactive,2,1,0.1925,0.1475
overactive,2,2,0.2075,0.1605
overactive,2,3,0.201,0.1375
overactive,2,4,0.2,0.151
overactive,2,5,0.217,0.1445
overactive,3,1,0.1925,0.1475
overactive,3,2,0.2075,0.1605
overactive,3,3,0.201,0.1375
overactive,3,4,0.2,0.151
overactive,3,5,0.217,0.1445
overactive,4,1,0.1925,0.1475
overactive,4,2,0.2075,0.1605
overactive,4,3,0.201,0.1375
overactive,4,4,0.2,0.151
overactive,4,5,0.217,0.1445
overactive,5,1,0.1925,0.1475
overactive,5,2,0.2075,0.1605
overactive,5,3,0.201,0.1375
overactive,5,4,0.2,0.151
overactive,5,5,0.217,0.1445
overactive,6,1,0.1925,0.1475
overactive,6,2,0.2075,0.1605
overactive,6,3,0.201,0.1375
overactive,6,4,0.2,0.151
overactive,6,5,0.217,0.1445
overactive,7,1,0.1925,0.1475
overactive,7,2,0.2075,0.1605
overactive,7,3,0.201,0.1375
overactive,7,4,0.2,0.151
overactive,7,5,0.217,0.1445
overactive,8,1,0.1925,0.1475
overactive,8,2,0.2075,0.1605
overactive,8,3,0.201,0.1375
overactive,8,4,0.2,0.151
overactive,8,5,0.217,0.1445
overactive,9,1,0.1925,0.1475
overactive,9,2,0.2075,0.1605
overactive,9,3,0.201,0.1375
overactive,9,4,0.2,0.151
overactive,9,5,0.217,0.1445
overactive,10,1,0.1925,0.1475
overactive,10,2,0.2075,0.1605
overactive,10,3,0.201,0.1375
overactive,10,4,0.2,0.151
overactive,10,5,0.217,0.1445
overactive,11,1,0.1925,0.1475
overactive,11,2,0.2075,0.1605
overactive,11,3,0.201,0.1375
overactive,11,4,0.2,0.151
overactive,11,5,0.217,0.1445
overactive,12,1,0.1925,0.1475
overactive,12,2,0.2075,0.1605
overactive,12,3,0.201,0.1375
overactive,12,4,0.2,0.151
overactive,12,5,0.217,0.1445
overactive,13,1,0.1925,0.1475
overactive,13,2,0.2075,0.1605
overactive,13,3,0.201,0.1375
overactive,13,4,0.2,0.151
overactive,13,5,0.217,0.1445
overactive,14,1,0.1925,0.1475
overactive,14,2,0.2075,0.1605
overactive,14,3,0.201,0.1375
overactive,14,4,0.2,0.151
overactive,14,5,0.217,0.1445
overactive,15,1,0.1925,0.1475
overactive,15,2,0.2075,0.1605
overactive,15,3,0.201,0.1375
overactive,15,4,0.2,0.151
overactive,15,5,0.217,0.1445
overactive,16,1,0.1925,0.1475
overactive,16,2,0.2075,0.1605
overactive,16,3,0.201,0.1375
overactive,16,4,0.2,0.151
overactive,16,5,0.217,0.1445
overactive,17,1,0.1925,0.1475
overactive,17,2,0.2075,0.1605
overactive,17,3,0.201,0.1375
overactive,17,4,0.2,0.151
overactive,17,5,0.217,0.1445
overactive,18,1,0.1925,0.1475
overactive,18,2,0.2075,0.1605
overactive,18,3,0.201,0.1375
overactive,18,4,0.2,0.151
overactive,18,5,0.217,0.1445
overactive,19,1,0.1925,0.1475
overactive,19,2,0.2075,0.1605
overactive,19,3,0.201,0.1375
overactive,19,4,0.2,0.151
overactive,19,5,0.217,0.1445
overactive,20,1,0.1925,0.1475
overactive,20,2,0.2075,0.1605
overactive,20,3,0.201,0.1375
overactive,20,4,0.2,0.151
overactive,20,5,0.217,0.1445
overactive,21,1,0.1925,0.1475
overactive,21,2,0.2075,0.1605
overactive,21,3,0.201,0.1375
overactive,21,4,0.2,0.151
overactive,21,5,0.217,0.1445
overactive,22,1,0.1925,0.1475
overactive,22,2,0.2075,0.1605
overactive,22,3,0.201,0.1375
overactive,22,4,0.2,0.151
overactive,22,5,0.217,0.1445
overactive,23,1,0.1925,0.1475
overactive,23,2,0.2075,0.1605
overactive,23,3,0.201,0.1375
overactive,23,4,0.2,0.151
overactive,23,5,0.217,0.1445
overactive,24,1,0.1925,0.1475
overactive,24,2,0.2075,0.1605
overactive,24,3,0.201,0.1375
overactive,24,4,0.2,0.151
overactive,24,5,0.217,0.1445
overactive,25,1,0.1925,0.1475
overactive,25,2,0.2075,0.1605
overactive,25,3,0.201,0.1375
overactive,25,4,0.2,0.151
overactive,25,5,0.217,0.1445
overactive,26,1,0.1925,0.1475
overactive,26,2,0.2075,0.1605
overactive,26,3,0.201,0.1375
overactive,26,4,0.2,0.151
overactive,26,5,0.217,0.1445
overactive,27,1,0.1925,0.1475
overactive,27,2,0.2075,0.1605
overactive,27,3,0.201,0.1375
overactive,27,4,0.2,0.151
overactive,27,5,0.217,0.1445
overactive,28,1,0.1925,0.1475
overactive,28,2,0.2075,0.1605
overactive,28,3,0.201,0.1375
overactive,28,4,0.2,0.151
overactive,28,5,0.217,0.1445
overactive,29,1,0.1925,0.1475
overactive,29,2,0.2075,0.1605
overactive,29,3,0.201,0.1375
overactive,29,4,0.2,0.151
overactive,29,5,0.217,0.1445
overactive,30,1,0.1925,0.1475
overactive,30,2,0.2075,0.1605
overactive,30,3,0.201,0.1375
overactive,30,4,0.2,0.151
overactive,30,5,0.217,0.1445
overactive,31,1,0.1925,0.1475
overactive,31,2,0.2075,0.1605
overactive,31,3,0.201,0.1375
overactive,31,4,0.2,0.151
overactive,31,5,0.217,0.1445
overactive,32,1,0.1925,0.1475
overactive,32,2,0.2075,0.1605
overactive,32,3,0.201,0.1375
overactive,32,4,0.2,0.151
overactive,32,5,0.217,0.1445
