condition,agent,block,cumulative_reward
overactive,26,2,4.5
overactive,26,3,8.7
overactive,26,4,7.95
overactive,26,5,10.975
overactive,27,1,3.925
overactive,27,2,4.5
overactive,27,3,8.7
overactive,27,4,7.95
overactive,27,5,10.975
overactive,28,1,3.925
overactive,28,2,4.5
overactive,28,3,8.7
overactive,28,4,7.95
overactive,28,5,10.975
overactive,29,1,3.925
overactive,29,2,4.5
overactive,29,3,8.7
overactive,29,4,7.95
overactive,29,5,10.975
overactive,30,1,3.925
overactive,30,2,4.5
overactive,30,3,8.7
overactive,30,4,7.95
overactive,30,5,10.975
overactive,31,1,3.925
overactive,31,2,4.5
overactive,31,3,8.7
overactive,31,4,7.95
overactive,31,5,10.975
overactive,32,1,3.925
overactive,32,2,4.5
overactive,32,3,8.7
overactive,32,4,7.95
overactive,32,5,10.975
overactive,33,1,3.925
overactive,33,2,4.5
overactive,33,3,8.7
overactive,33,4,7.95
overactive,33,5,10.975
overactive,34,1,3.925
overactive,34,2,4.5
overactive,34,3,8.7
overactive,34,4,7.95
overactive,34,5,10.975
overactive,35,1,3.925
overactive,35,2,4.5
overactive,35,3,8.7
overactive,35,4,7.95
overactive,35,5,10.975
overactive,36,1,3.925
overactive,36,2,4.5
overactive,36,3,8.7
overactive,36,4,7.95
overactive,36,5,10.975
overactive,37,1,3.925
overactive,37,2,4.5
overactive,37,3,8.7
overactive,37,4,7.95
overactive,37,5,10.975
overactive,38,1,3.925
overactive,38,2,4.5
overactive,38,3,8.7
overactive,38,4,7.95
overactive,38,5,10.975
overactive,39,1,3.925
overactive,39,2,4.5
overactive,39,3,8.7
overactive,39,4,7.95
overactive,39,5,10.975
overactive,40,1,3.925
overactive,40,2,4.5
overactive,40,3,8.7
overactive,40,4,7.95
overactive,40,5,10.975
overactive,41,1,3.925
overactive,41,2,4.5
overactive,41,3,8.7
overactive,41,4,7.95
overactive,41,5,10.975
overactive,42,1,3.925
overactive,42,2,4.5
overactive,42,3,8.7
overactive,42,4,7.95
overactive,42,5,10.975
overactive,43,1,3.925
overactive,43,2,4.5
overactive,43,3,8.7
overactive,43,4,7.95
overactive,43,5,10.975
overactive,44,1,3.925
overactive,44,2,4.5
overactive,44,3,8.7
overactive,44,4,7.95
overactive,44,5,10.975
overactive,45,1,3.925
overactive,45,2,4.5
overactive,45,3,8.7
overactive,45,4,7.95
overactive,45,5,10.975
overactive,46,1,3.925
overactive,46,2,4.5
overactive,46,3,8.7
overactive,46,4,7.95
overactive,46,5,10.975
overactive,47,1,3.925
overactive,47,2,4.5
overactive,47,3,8.7
overactive,47,4,7.95
overactive,47,5,10.975
overactive,48,1,3.925
overactive,48,2,4.5
overactive,48,3,8.7
overactive,48,4,7.95
overactive,48,5,10.975
overactive,49,1,3.925
overactive,49,2,4.5
overactive,49,3,8.7
overactive,49,4,7.95
overactive,49,5,10.975
overactive,50,1,3.925
overactive,50,2,4.5
overactive,50,3,8.7
overactive,50,4,7.95
overactive,50,5,10.975
